,date,time,temp,dewpoint,humidity,wind,windspeed,windgust,pressurre,precip,condit
49,2019-01-02,1:50 AM,41 °F,32 °F,70 %,NNW,10 mph,0 mph,30.42 in,0.0 in,Mostly Cloudy
50,2019-01-02,2:20 AM,41 °F,32 °F,70 %,NW,6 mph,0 mph,30.42 in,0.0 in,Mostly Cloudy
51,2019-01-02,2:50 AM,41 °F,32 °F,70 %,NW,7 mph,0 mph,30.42 in,0.0 in,Fair
52,2019-01-02,3:20 AM,41 °F,32 °F,70 %,NW,8 mph,0 mph,30.42 in,0.0 in,Fair
53,2019-01-02,3:50 AM,41 °F,32 °F,70 %,NW,8 mph,0 mph,30.45 in,0.0 in,Fair
54,2019-01-02,4:20 AM,41 °F,32 °F,70 %,NNW,8 mph,0 mph,30.45 in,0.0 in,Fair
55,2019-01-02,4:50 AM,39 °F,32 °F,75 %,NW,7 mph,0 mph,30.45 in,0.0 in,Fair
56,2019-01-02,5:20 AM,39 °F,32 °F,75 %,NW,7 mph,0 mph,30.45 in,0.0 in,Fair
57,2019-01-02,5:50 AM,39 °F,32 °F,75 %,NW,7 mph,0 mph,30.45 in,0.0 in,Fair
58,2019-01-02,6:20 AM,39 °F,32 °F,75 %,NW,8 mph,0 mph,30.45 in,0.0 in,Fair
59,2019-01-02,6:50 AM,39 °F,32 °F,75 %,NW,6 mph,0 mph,30.45 in,0.0 in,Fair
60,2019-01-02,7:20 AM,39 °F,32 °F,75 %,NW,6 mph,0 mph,30.45 in,0.0 in,Fair
61,2019-01-02,7:50 AM,39 °F,32 °F,75 %,NW,7 mph,0 mph,30.45 in,0.0 in,Fair
62,2019-01-02,8:20 AM,39 °F,32 °F,75 %,NW,7 mph,0 mph,30.48 in,0.0 in,Fair
63,2019-01-02,8:50 AM,41 °F,32 °F,70 %,NW,8 mph,0 mph,30.48 in,0.0 in,Fair
64,2019-01-02,9:20 AM,39 °F,32 °F,75 %,WNW,8 mph,0 mph,30.48 in,0.0 in,Fair
65,2019-01-02,9:50 AM,39 °F,34 °F,81 %,WNW,8 mph,0 mph,30.48 in,0.0 in,Fair
66,2019-01-02,10:20 AM,41 °F,34 °F,76 %,NW,9 mph,0 mph,30.51 in,0.0 in,Fair
67,2019-01-02,10:50 AM,41 °F,34 °F,76 %,NW,8 mph,0 mph,30.51 in,0.0 in,Fair
68,2019-01-02,11:20 AM,41 °F,34 °F,76 %,NNW,9 mph,0 mph,30.51 in,0.0 in,Fair
69,2019-01-02,11:50 AM,41 °F,36 °F,81 %,NNW,9 mph,0 mph,30.54 in,0.0 in,Light Rain
70,2019-01-02,12:20 PM,41 °F,36 °F,81 %,NNW,6 mph,0 mph,30.51 in,0.0 in,Fair
71,2019-01-02,12:50 PM,43 °F,36 °F,76 %,NNW,5 mph,0 mph,30.54 in,0.0 in,Fair
72,2019-01-02,1:20 PM,43 °F,36 °F,76 %,NW,5 mph,0 mph,30.51 in,0.0 in,Partly Cloudy
73,2019-01-02,1:50 PM,43 °F,36 °F,76 %,NNW,6 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
74,2019-01-02,2:20 PM,43 °F,34 °F,70 %,N,6 mph,0 mph,30.51 in,0.0 in,Fair
75,2019-01-02,2:50 PM,43 °F,34 °F,70 %,NNW,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
76,2019-01-02,3:20 PM,43 °F,34 °F,70 %,N,14 mph,0 mph,30.51 in,0.0 in,Partly Cloudy
77,2019-01-02,3:50 PM,43 °F,34 °F,70 %,N,12 mph,0 mph,30.51 in,0.0 in,Fair
78,2019-01-02,4:20 PM,43 °F,34 °F,70 %,NNW,8 mph,0 mph,30.51 in,0.0 in,Fair
79,2019-01-02,4:50 PM,43 °F,32 °F,66 %,NNW,9 mph,0 mph,30.54 in,0.0 in,Fair
80,2019-01-02,5:20 PM,41 °F,32 °F,70 %,NNW,7 mph,0 mph,30.54 in,0.0 in,Fair
81,2019-01-02,5:50 PM,41 °F,36 °F,81 %,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
82,2019-01-02,6:20 PM,41 °F,34 °F,76 %,NW,8 mph,0 mph,30.54 in,0.0 in,Fair
83,2019-01-02,6:50 PM,41 °F,34 °F,76 %,NW,7 mph,0 mph,30.54 in,0.0 in,Fair
84,2019-01-02,7:20 PM,41 °F,34 °F,76 %,NW,7 mph,0 mph,30.54 in,0.0 in,Fair
85,2019-01-02,7:50 PM,39 °F,34 °F,81 %,NW,7 mph,0 mph,30.54 in,0.0 in,Fair
86,2019-01-02,8:20 PM,39 °F,34 °F,81 %,NW,7 mph,0 mph,30.54 in,0.0 in,Fair
87,2019-01-02,8:50 PM,39 °F,34 °F,81 %,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
88,2019-01-02,9:20 PM,41 °F,34 °F,76 %,NW,6 mph,0 mph,30.57 in,0.0 in,Fair
89,2019-01-02,9:50 PM,39 °F,34 °F,81 %,NW,5 mph,0 mph,30.57 in,0.0 in,Fair
